task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
regression,5,ridge,ridge,1,BOVA11.SA,243,0.03129592469869043,0.0304524391490687,2.695192929247505,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,ITUB4.SA,243,0.040096787999029396,0.0385285421645706,3.9111507747123246,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,JPM,245,0.043248537078289226,0.043552550247458285,-0.7029443992954716,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,MSFT,245,0.04435154038807755,0.042380039937112264,4.4451679326458295,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,NVDA,245,0.08748764911965262,0.08716382838517212,0.37013308477135176,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,PETR4.SA,243,0.051513392559925965,0.05234578620614275,-1.615878133532851,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,SPY,245,0.032180265838580684,0.03179274909397336,1.204206163339812,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,VALE3.SA,243,0.05799155172158351,0.057549243963406015,0.7627106794813979,2021-10-07,2022-09-27
regression,5,ridge,ridge,1,WEGE3.SA,242,0.051351316841134004,0.050940686023071155,0.7996500252042624,2021-10-07,2022-09-27
regression,5,ridge,ridge,2,AAPL,244,0.03555367862861352,0.03556034104741868,-0.018739042096757377,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,BOVA11.SA,243,0.02918628935331801,0.02857249848222324,2.1030109845909344,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,ITUB4.SA,243,0.03714587356214449,0.03706011869399557,0.23085974275298077,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,JPM,244,0.034621443491511986,0.03353774451803865,3.1301380421617147,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,MSFT,244,0.03753297878978125,0.038098325366242254,-1.5062662082523726,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,NVDA,244,0.07444217662701921,0.073431301305294,1.3579335902415128,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,PETR4.SA,243,0.0602214230779837,0.059057614835924255,1.9325485559389246,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,SPY,244,0.02026594356755089,0.02070188769543949,-2.1511168549122868,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,VALE3.SA,243,0.04419986774592079,0.044339606719584146,-0.316152470108364,2022-09-28,2023-09-18
regression,5,ridge,ridge,2,WEGE3.SA,243,0.03958786472044125,0.0390078540578565,1.4651223719203539,2022-09-28,2023-09-18
regression,5,ridge,ridge,3,AAPL,245,0.033848783128436505,0.03349011115949733,1.0596303198795203,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,BOVA11.SA,244,0.01939550433006675,0.019208077953246805,0.9663392796102623,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,ITUB4.SA,244,0.027647072341175374,0.02624016494721516,5.088811490050166,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,JPM,245,0.029462268517791917,0.029140005058352198,1.0938175356222402,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,MSFT,245,0.027725020850354467,0.027414691094551084,1.119312975374789,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,NVDA,245,0.07220468983944121,0.07292795750472934,-1.0016907030504976,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,PETR4.SA,244,0.040093524672707874,0.04096471185454702,-2.172887489814959,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,SPY,245,0.019158198855646423,0.019055193555820037,0.5376564916280079,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,VALE3.SA,243,0.03095530383964179,0.0300187470024434,3.025513307994157,2023-09-19,2024-09-09
regression,5,ridge,ridge,3,WEGE3.SA,244,0.03354989780716189,0.03322553773279067,0.9667989936529081,2023-09-19,2024-09-09
regression,5,ridge,ridge,4,AAPL,245,0.047272696995507874,0.04686329740364966,0.8660381528414098,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,BOVA11.SA,244,0.02081663693337623,0.020865296909534793,-0.23375522335476068,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,ITUB4.SA,244,0.029892525896161874,0.029525559181335977,1.2276202957911089,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,JPM,245,0.03777599351431709,0.03714298694495794,1.6756847682093108,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,MSFT,245,0.032105932037715536,0.0320727377390617,0.10338992375254513,2024-09-10,2025-09-02
regression,5,ridge,ridge,4,NVDA,245,0.0656354253830219,0.063594973453646,3.1087662149954127,2024-09-10,2025-09-02
