ticker,task,horizon,local_model,global_model,n,local_primary,global_primary,global_improvement_vs_local_pct,local_rmse,local_mae,local_directional_accuracy,global_rmse,global_mae,global_directional_accuracy,criterion,statistic,pvalue_two_sided,pvalue_global_better,hac_lags,qvalue_global_better,local_log_loss,local_brier,local_accuracy,global_log_loss,global_brier,global_accuracy
AAPL,regression,10,ridge,ridge,1226,0.0551032787191997,0.054326673856823486,1.4093623472637735,0.0551032787191997,0.044020647741998764,0.5758564437194127,0.054326673856823486,0.04335865860416627,0.567699836867863,mse,-1.3854596933048293,0.165911949121063,0.08295597456053155,9,0.2765199152017718,,,,,,
BOVA11.SA,regression,10,ridge,ridge,1217,0.037316271809381324,0.03656271196880263,2.019386728738656,0.037316271809381324,0.029003688376293038,0.4913722267871816,0.03656271196880263,0.02873577909034297,0.514379622021364,mse,-2.0403359202877693,0.04131687947445428,0.020658439737227197,9,0.2025287039638271,,,,,,
ITUB4.SA,regression,10,ridge,ridge,1219,0.05040586556915635,0.049910525766718415,0.9827027010543677,0.05040586556915635,0.039798176319287774,0.5118949958982772,0.049910525766718415,0.03954900600428952,0.5578342904019689,mse,-0.9055866289801264,0.3651546886227526,0.1825773443113763,9,0.29878701996766216,,,,,,
JPM,regression,10,ridge,ridge,1225,0.049583977653012784,0.049104028626796345,0.9679518443943893,0.049583977653012784,0.038882067437611086,0.5240816326530612,0.049104028626796345,0.03808984676474887,0.5820408163265306,mse,-0.8093709129534548,0.41830182795472703,0.20915091397736352,9,0.29878701996766216,,,,,,
MSFT,regression,10,ridge,ridge,1226,0.056011593330007894,0.05531538504178159,1.2429717614430333,0.056011593330007894,0.042095544464305794,0.533442088091354,0.05531538504178159,0.04144452472053881,0.5375203915171288,mse,-1.0589780339452821,0.28960978365044787,0.14480489182522394,9,0.29878701996766216,,,,,,
NVDA,regression,10,ridge,ridge,1226,0.10231047195215227,0.10233039137799614,-0.019469586508390906,0.10231047195215227,0.07997825683377059,0.566884176182708,0.10233039137799614,0.0801500575158542,0.5685154975530179,mse,0.021086961461371696,0.9831762858302646,0.5084118570848677,9,0.5084118570848677,,,,,,
PETR4.SA,regression,10,ridge,ridge,1219,0.06899141729922192,0.0683938625525503,0.8661291071612274,0.06899141729922192,0.05305285472037085,0.5561936013125512,0.0683938625525503,0.05330945965147746,0.5726004922067268,mse,-0.8169979677586846,0.4139295894213586,0.2069647947106793,9,0.29878701996766216,,,,,,
SPY,regression,10,ridge,ridge,1226,0.03160566166439991,0.03139705930217924,0.6600158048759932,0.03160566166439991,0.024232924277725387,0.5840130505709625,0.03139705930217924,0.02385897231734401,0.5962479608482871,mse,-0.6863981158537579,0.4924620922937093,0.2462310461468547,9,0.30778880768356837,,,,,,
VALE3.SA,regression,10,ridge,ridge,1218,0.05801762342017372,0.05778271686658776,0.4048882731454332,0.05801762342017372,0.04569407945511443,0.5172413793103449,0.05778271686658776,0.04555890389327202,0.5295566502463054,mse,-0.42570305842243217,0.6703242331873311,0.3351621165936655,9,0.3724023517707395,,,,,,
WEGE3.SA,regression,10,ridge,ridge,1218,0.061447155758701265,0.060269245355571155,1.9169486180217725,0.061447155758701265,0.048634875188146555,0.49589490968801314,0.060269245355571155,0.047746738247158915,0.5041050903119869,mse,-1.7448471348601684,0.08101148158553073,0.04050574079276542,9,0.2025287039638271,,,,,,
